,carat,color,clarity,cut,authentication,price,natural,price_log,shape_cushion,shape_cushion_modified,shape_emerald,shape_heart,shape_marquise,shape_oval,shape_pear,shape_princess,shape_radiant,shape_radient,shape_round
95,0.3,90,20,10,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
96,0.3,30,50,10,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
97,0.3,40,20,20,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
98,0.3,50,30,10,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
99,0.3,30,20,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
100,0.33,20,30,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
101,0.3,30,30,20,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
102,0.3,30,60,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
103,0.33,10,30,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
104,0.3,20,30,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
105,0.3,40,20,20,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
106,0.33,30,30,40,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
107,0.3,60,10,40,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
108,0.3,80,20,40,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
109,0.4,20,30,40,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
110,0.31,90,20,10,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
111,0.34,20,40,40,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
112,0.31,40,20,40,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
113,0.3,50,20,10,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
114,0.3,40,20,20,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
115,0.31,30,40,20,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
116,0.31,10,30,40,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
117,0.32,20,30,40,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
118,0.3,50,20,10,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
119,0.31,30,30,40,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
120,0.3,50,20,20,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
121,0.3,30,40,20,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
122,0.3,70,10,20,50,320,20,5.768320995793772,0,0,0,0,0,0,0,0,0,0,1
