shape,carat,color,clarity,cut,authentication,ship date,price,natural
Round,0.3,I,SI2,Very Good,GIA,43976,330,Natural
Round,0.3,E,I1,Very Good,GIA,43976,330,Natural
Round,0.3,H,SI2,Very Good,GIA,43976,330,Natural
Round,0.3,K,VS1,Good,GIA,43976,330,Natural
Round,0.3,L,VS1,Excellent,GIA,43976,330,Natural
Round,0.3,K,VS1,Very Good,GIA,43976,330,Natural
Round,0.3,K,VS1,Very Good,GIA,43976,330,Natural
Round,0.3,L,VS1,Excellent,GIA,43976,330,Natural
Round,0.35,K,SI2,Excellent,GIA,43976,330,Natural
Round,0.3,J,SI2,Excellent,GIA,43976,330,Natural
Round,0.3,J,SI2,Excellent,GIA,43976,330,Natural
Round,0.4,K,I1,Very Good,GIA,43976,330,Natural
Round,0.3,F,I1,Very Good,GIA,43976,330,Natural
Round,0.23,H,VVS2,Good,GIA,43977,330,Natural
Round,0.3,K,VS2,Good,GIA,43972,330,Natural
Round,0.31,D,SI2,Good,GIA,43972,330,Natural
Round,0.31,E,SI2,Very Good,GIA,43972,330,Natural
Round,0.37,L,SI1,Excellent,GIA,43972,330,Natural
Round,0.31,M,VS2,Excellent,GIA,43972,330,Natural
Round,0.3,M,VS2,Excellent,GIA,43972,330,Natural
Round,0.3,M,VS2,Excellent,GIA,43972,330,Natural
Round,0.3,M,VS2,Excellent,GIA,43972,330,Natural
Round,0.31,L,SI1,Excellent,GIA,43972,330,Natural
Round,0.23,I,VVS1,Very Good,GIA,43976,330,Natural
Round,0.3,J,SI2,Very Good,GIA,43976,330,Natural
Round,0.3,H,SI2,Very Good,GIA,43976,330,Natural
Round,0.3,I,SI1,Excellent,GIA,43976,330,Natural
Round,0.3,J,SI2,Very Good,GIA,43976,330,Natural
Round,0.3,J,SI2,Excellent,GIA,43976,330,Natural
Round,0.34,L,VVS1,Excellent,GIA,43976,330,Natural
Round,0.35,J,SI1,Excellent,GIA,43972,330,Natural
Round,0.3,M,VS2,Excellent,GIA,43972,330,Natural
Round,0.27,G,SI1,Excellent,GIA,43976,330,Natural
Round,0.3,J,SI2,Very Good,GIA,43976,330,Natural
Round,0.3,J,SI2,Very Good,GIA,43976,330,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,330,Natural
Round,0.32,L,VVS1,Excellent,GIA,43976,330,Natural
Round,0.32,L,VVS1,Excellent,GIA,43976,330,Natural
Round,0.3,K,SI1,Very Good,GIA,43972,330,Natural
Round,0.35,M,VS1,Excellent,GIA,43972,330,Natural
Round,0.35,M,SI1,Excellent,GIA,43972,330,Natural
Round,0.3,L,VS2,Excellent,GIA,43977,330,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,330,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,330,Natural
Round,0.31,I,SI2,Excellent,GIA,43976,330,Natural
Round,0.3,J,SI2,Excellent,GIA,43976,330,Natural
Round,0.3,K,SI1,Excellent,GIA,43976,330,Natural
Round,0.3,K,SI1,Very Good,GIA,43976,330,Natural
Round,0.3,K,VS1,Very Good,GIA,43976,330,Natural
Round,0.37,J,SI2,Very Good,GIA,43976,330,Natural
Round,0.32,L,VVS1,Excellent,GIA,43976,330,Natural
Round,0.31,J,SI2,Very Good,GIA,43977,330,Natural
Round,0.23,H,VVS2,Excellent,GIA,43972,330,Natural
Round,0.3,M,VS2,Excellent,GIA,43972,330,Natural
Round,0.3,M,VS2,Excellent,GIA,43972,330,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,330,Natural
Round,0.3,J,SI2,Very Good,GIA,43976,330,Natural
Round,0.3,K,VS2,Excellent,GIA,43976,330,Natural
Round,0.35,K,SI1,Excellent,GIA,43976,330,Natural
Round,0.34,J,SI1,Very Good,GIA,43972,330,Natural
